stem,method,region_h,region_w,niqe,brisque,ocr_conf_sum,ocr_n_detections
sc_h_25,lama_dilated,171,120,5.172490704404951,29.91326904296875,0.0,0
sc_h_25,lama_auto,171,120,4.545730397356573,24.70135498046875,0.0,0
sc_h_26,raw,118,96,10.75346260295714,26.72674560546875,0.10846550762653351,1
sc_h_26,telea,118,96,9.634830649658818,37.53240966796875,0.0,0
sc_h_26,navier_stokes,118,96,10.051969430729343,36.28240966796875,0.0,0
sc_h_26,lama_manual_mask,118,96,9.104476925250692,30.89959716796875,0.0,0
sc_h_26,lama_dilated,118,96,11.58300107132179,32.11346435546875,0.0,0
sc_h_26,lama_auto,118,96,10.617699777438991,27.98846435546875,0.0,0
sc_h_27,raw,120,96,8.974065994701794,25.38299560546875,0.42956307646151326,2
sc_h_27,telea,120,96,6.61633946083251,27.54608154296875,0.0,0
sc_h_27,navier_stokes,120,96,6.787351329480346,32.06463623046875,0.0,0
sc_h_27,lama_manual_mask,120,96,5.770161865941934,25.67108154296875,0.0,0
sc_h_27,lama_dilated,120,96,5.969812154092548,29.40936279296875,0.0,0
sc_h_27,lama_auto,120,96,5.9206420863144205,24.59197998046875,0.0,0
sc_h_28,raw,119,96,11.997247817927223,44.96990966796875,1.5039422002767502,2
sc_h_28,telea,119,96,13.094592152348476,20.56951904296875,0.0,0
sc_h_28,navier_stokes,119,96,11.512074439608268,25.29412841796875,0.0,0
sc_h_28,lama_manual_mask,119,96,8.837278850652016,26.52655029296875,0.0,0
sc_h_28,lama_dilated,119,96,10.448045873234987,25.67889404296875,0.0,0
sc_h_28,lama_auto,119,96,9.431430393725943,23.38983154296875,0.0,0
